date,index
2020-02-13,8
2020-02-14,7
2020-02-15,6
2020-02-16,6
2020-02-17,6
2020-02-18,5
2020-02-19,5
2020-02-20,5
2020-02-21,8
2020-02-22,12
2020-02-23,18
2020-02-24,21
2020-02-25,25
2020-02-26,30
2020-02-27,30
2020-02-28,32
2020-02-29,28
2020-03-01,26
2020-03-02,33
2020-03-03,33
2020-03-04,34
2020-03-05,37
2020-03-06,37
2020-03-07,34
2020-03-08,38
2020-03-09,46
2020-03-10,54
2020-03-11,65
2020-03-12,93
2020-03-13,94
2020-03-14,88
2020-03-15,99
2020-03-16,100
2020-03-17,94
2020-03-18,90
2020-03-19,87
2020-03-20,82
2020-03-21,85
2020-03-22,91
2020-03-23,83
2020-03-24,75
2020-03-25,73
2020-03-26,70
2020-03-27,73
2020-03-28,72
2020-03-29,69
2020-03-30,59
2020-03-31,60
2020-04-01,57
2020-04-02,56
2020-04-03,69
2020-04-04,79
2020-04-05,77
2020-04-06,64
2020-04-07,63
2020-04-08,61
2020-04-09,58
2020-04-10,58
2020-04-11,48
2020-04-12,45
2020-04-13,58
2020-04-14,55
2020-04-15,55
2020-04-16,53
2020-04-17,52
2020-04-18,53
2020-04-19,47
2020-04-20,43
2020-04-21,41
2020-04-22,33
2020-04-23,43
2020-04-24,43
2020-04-25,38
2020-04-26,36
2020-04-27,30
2020-04-28,29
2020-04-29,27
2020-04-30,26
2020-05-01,26
2020-05-02,26
2020-05-03,28
2020-05-04,25
2020-05-05,24
2020-05-06,24
2020-05-07,24
2020-05-08,23
2020-05-09,24
