adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0070,0.0070,2019-04-03,0.0000,0.0070,0.0070,0.0070,1.0000,218
0.0070,0.0070,2019-03-07,0.0000,0.0070,0.0070,0.0070,1.0000,311
0.0075,0.0075,2019-02-22,0.0000,0.0075,0.0075,0.0075,1.0000,148
0.0077,0.0077,2019-02-07,0.0000,0.0077,0.0077,0.0077,1.0000,147
0.0077,0.0077,2019-01-25,0.0000,0.0077,0.0077,0.0077,1.0000,147
0.0070,0.0070,2019-01-16,0.0000,0.0070,0.0070,0.0070,1.0000,313
0.0070,0.0070,2019-01-15,0.0000,0.0070,0.0070,0.0070,1.0000,1620
0.0079,0.0079,2019-01-10,0.0000,0.0079,0.0079,0.0079,1.0000,147
0.0077,0.0077,2018-12-27,0.0000,0.0077,0.0077,0.0077,1.0000,147
0.0085,0.0085,2018-12-14,0.0000,0.0085,0.0085,0.0085,1.0000,147
0.0100,0.0100,2018-12-10,0.0000,0.0100,0.0100,0.0100,1.0000,300
0.0115,0.0115,2018-12-06,0.0000,0.0115,0.0115,0.0115,1.0000,40
0.0115,0.0115,2018-11-29,0.0000,0.0115,0.0115,0.0115,1.0000,147
0.0100,0.0100,2018-11-20,0.0000,0.0100,0.0100,0.0100,1.0000,10000
0.0130,0.0130,2018-11-15,0.0000,0.0130,0.0130,0.0130,1.0000,147
0.0100,0.0100,2018-10-31,0.0000,0.0100,0.0100,0.0100,1.0000,1485
0.0100,0.0100,2018-10-30,0.0000,0.0100,0.0100,0.0100,1.0000,1692
0.0110,0.0110,2018-10-24,0.0000,0.0110,0.0110,0.0110,1.0000,15000
0.0150,0.0150,2018-10-19,0.0000,0.0152,0.0150,0.0152,1.0000,15000
0.0030,0.0030,2018-10-17,0.0000,0.0030,0.0030,0.0030,1.0000,10000
0.0030,0.0030,2018-09-21,0.0000,0.0040,0.0030,0.0040,1.0000,20000
0.0050,0.0050,2018-06-27,0.0000,0.0050,0.0050,0.0050,1.0000,1263
0.0050,0.0050,2018-06-26,0.0000,0.0050,0.0050,0.0050,1.0000,22300
0.0080,0.0080,2018-06-25,0.0000,0.0080,0.0080,0.0080,1.0000,27700
0.0080,0.0080,2018-06-13,0.0000,0.0080,0.0080,0.0080,1.0000,200
0.0080,0.0080,2018-06-08,0.0000,0.0080,0.0080,0.0080,1.0000,200
0.0080,0.0080,2018-04-05,0.0000,0.0082,0.0080,0.0082,1.0000,21900
0.0090,0.0090,2018-02-22,0.0000,0.0090,0.0090,0.0090,1.0000,1000
0.0090,0.0090,2018-02-20,0.0000,0.0090,0.0090,0.0090,1.0000,200
0.0090,0.0090,2018-02-09,0.0000,0.0090,0.0090,0.0090,1.0000,50000
0.0090,0.0090,2018-01-25,0.0000,0.0090,0.0090,0.0090,1.0000,20000
0.0090,0.0090,2018-01-02,0.0000,0.0090,0.0090,0.0090,1.0000,1650
0.0090,0.0090,2017-12-18,0.0000,0.0090,0.0090,0.0090,1.0000,705
0.0100,0.0100,2017-11-29,0.0000,0.0100,0.0100,0.0100,1.0000,328
0.0190,0.0190,2017-11-28,0.0000,0.0190,0.0190,0.0190,1.0000,11
0.0190,0.0190,2017-11-07,0.0000,0.0190,0.0100,0.0100,1.0000,2150
0.0145,0.0145,2017-10-13,0.0000,0.0145,0.0145,0.0145,1.0000,0
0.0145,0.0145,2017-10-12,0.0000,0.0145,0.0145,0.0145,1.0000,0
0.0145,0.0145,2017-10-11,0.0000,0.0145,0.0145,0.0145,1.0000,410
